date,SPY_overnight_0bps,SPY_overnight_1bps,SPY_overnight_2bps,SPY_overnight_5bps,QQQ_overnight_0bps,QQQ_overnight_1bps,QQQ_overnight_2bps,QQQ_overnight_5bps,IWM_overnight_0bps,IWM_overnight_1bps,IWM_overnight_2bps,IWM_overnight_5bps,DIA_overnight_0bps,DIA_overnight_1bps,DIA_overnight_2bps,DIA_overnight_5bps,VTI_overnight_0bps,VTI_overnight_1bps,VTI_overnight_2bps,VTI_overnight_5bps
2022-11-03,275725.15860347165,121919.8381826643,53905.976102314045,4657.059439012629,444580.55413031497,196584.1256317086,86918.25166729801,7509.0647385994525,509542.02323033026,225308.71442475487,99618.62118966295,8606.278443640538,281638.83992524736,124534.74308821179,55062.137424781424,4756.9428357922325,718741.4350616438,317812.2732859236,140518.4017969687,12139.703178762353
2022-11-04,280176.78501824033,123863.47689443553,54754.38830819638,4727.517336909857,453182.31010881497,200347.5648186774,88564.51179739244,7646.697879272282,517114.39984543854,228611.33021019585,101058.63213133013,8725.445579925252,284931.8228025142,125965.63361911409,55683.65582493051,4807.750692294296,729452.9487670576,322484.1717678489,142555.52974080187,12308.305491947818
2022-11-07,281189.221744053,124286.20451743873,54930.268090452395,4739.857108688456,455014.3459099898,201117.26083730685,88886.97742685115,7669.934745862389,520182.0748272009,229921.52877441177,101617.48252255078,8768.432480766633,285810.7296651857,126328.9203623157,55833.078900609326,4817.759408915319,731962.4839585098,323528.8977867211,142988.75051687297,12338.30216309629
2022-11-08,282047.70328321727,124640.72320905968,55075.93533252848,4749.574935759471,457650.0799871077,202241.80619900022,89366.11047311494,7706.651477578072,522326.69940523885,230823.28559115258,101995.62408777747,8795.780894134792,286724.5548853067,126707.48765791206,55989.1921093016,4828.331319481087,734227.5272489282,324465.1487355365,143373.85959678591,12364.10940409057
2022-11-09,280519.28576275153,123940.50286155706,54755.56984013539,4719.11431605442,454627.81169922574,200866.04542586385,88740.44017001495,7648.103797329763,517788.76055206347,228772.14728530846,101069.05328721025,8710.646563815693,284995.7698405298,125918.32654716693,55629.3508919185,4794.421224239414,729630.2619444353,322369.07106944534,142419.1590134134,12274.40960148678
2022-11-10,290956.43368148303,128526.18922983261,56770.11947578265,4889.802690026655,476537.3017243218,210504.1041420779,92979.82935538862,8008.667656479991,539196.5518095137,238183.00620844433,105205.62229830588,9061.716615545258,292774.5596245803,129329.32252387886,57124.86408722108,4920.358045049741,756165.437549571,334026.16634333617,147539.62196326663,12708.087406250066
2022-11-11,291619.83505541424,128793.47552807447,56876.8018403085,4896.052061579482,476217.1930504072,210320.6298965626,92880.20794926026,7995.286635255842,540301.734649078,238623.47438088275,105379.09634909128,9071.212255849961,293330.15247014316,129548.83472391804,57210.3778628835,4924.766854257325,757844.5136318621,334700.92595719045,147808.0948074515,12723.572772815409
2022-11-14,290266.0274769295,128169.93055057891,56590.115763863534,4868.450665134923,472744.2940202545,208745.0738187913,92165.98496852464,7929.044582541098,537092.8598304712,237158.84060581413,104711.3483377475,9008.32285958346,292392.3230346255,129108.81808188645,57004.657254661885,4904.1136916080595,754436.8970893559,333129.32121352723,147084.63030937925,12653.698558398952
2022-11-15,294695.85868519935,130099.94389505305,57430.77417981067,4937.8079416173405,483956.60077694204,213653.24538197674,94314.19354195749,8108.986523856308,545898.695225821,240998.94018914364,106385.56249294881,9146.863904470654,294760.88793882134,130128.65248392116,57443.44717900622,4938.897546223355,766418.0925618701,338352.05994179205,149360.7158160322,12841.80022391776
2022-11-16,293431.2167879952,129515.73298738677,57161.44741603818,4911.702710266396,480612.0480293201,212134.28606698138,93624.94083508242,8044.895579729262,543133.5253676844,239730.24212636423,105804.347574319,9091.433548845815,294287.47414131317,129893.670958524,57328.24940190816,4926.0354782964605,762937.1051266501,336747.94207442756,148622.86873843352,12770.693888785618
2022-11-17,289728.5618403481,127855.86672965817,56417.583223237474,4844.87599239541,472934.12843328336,208703.63112558197,92092.40670133404,7908.461596870414,535380.6503712358,236260.9908001498,104252.3464258051,8952.699876396677,291362.7889553309,128577.04355424315,56735.80916437274,4872.203735525853,752742.5935937334,332181.8053316077,146578.29262670773,12587.452534850037
2022-11-18,292300.7354734226,128965.15808892957,56895.6863081969,4883.001524228863,478048.48669307504,210918.38363216195,93051.07185223074,7985.992527171933,541393.257595935,238866.5459259149,105380.99024506896,9044.192440249888,293135.7069120966,129333.55341100867,57058.211636689,4896.950058436802,758802.7031318621,334789.13561134384,147699.2539799045,12676.104800012636
2022-11-21,291274.8495164639,128486.8287061659,56673.32376235671,4860.999038872907,475665.1410982998,209824.86337989653,92550.12778714765,7938.233587769866,538623.2675146611,237596.8801467033,104799.885319558,8988.922971035267,293387.548568468,129418.78009727818,57084.39144494453,4896.2572428623425,756125.8176056664,333541.3564483433,147119.33878733355,12618.758120550994
2022-11-22,292780.7337690882,129125.27371751514,56943.53928805711,4881.24538300703,476930.6188266025,210341.01495496492,92759.23685692082,7951.395404993199,541511.5292902397,238823.17507934175,105319.71365094768,9028.089444839568,294989.31403259345,130099.32527951954,57373.09069803862,4918.066870799195,758230.810495167,334403.01786885655,147469.90142083293,12641.236994447305
2022-11-23,292524.4370212635,128986.43784170668,56870.936394863515,4872.096646103293,476964.1293451638,210313.72506506924,92728.65179686995,7944.004126825338,540280.2283905327,238232.48001442544,105038.20746424308,8998.555865970699,294686.4525534141,129939.76223706527,57291.26315137617,4908.105769752245,757586.6918101214,334052.12134727347,147285.69346976065,12617.870896140876
