date,equity
2023-03-17,85279.61
2023-03-20,85506.66
2023-03-21,86457.83
2023-03-22,85326.33
2023-03-23,86168.12
2023-03-24,86127.24
2023-03-27,85633.71
2023-03-28,85417.11
2023-03-29,86890.09
2023-03-30,87499.5
2023-03-31,88727.33
2023-04-03,88423.89
2023-04-04,87856.84
2023-04-05,86928.45
2023-04-06,87249.26
2023-04-10,87499.57
2023-04-11,87377.99
2023-04-12,86564.27
2023-04-13,87660.5
2023-04-14,87615.66
2023-04-17,87671.72
2023-04-18,87697.59
2023-04-19,87322.18
2023-04-20,86899.67
2023-04-21,86807.48
2023-04-24,86562.86
2023-04-25,84845.9
2023-04-26,85456.24
2023-04-27,86685.54
2023-04-28,86998.11
2023-05-01,87301.59
2023-05-02,86712.62
2023-05-03,86118.43
2023-05-04,86212.79
2023-05-05,87623.63
2023-05-08,87808.34
2023-05-09,87377.6
2023-05-10,88287.29
2023-05-11,88362.0
2023-05-12,88079.98
2023-05-15,88683.8
2023-05-16,88820.21
2023-05-17,89898.6
2023-05-18,91026.97
2023-05-19,90746.34
2023-05-22,91160.68
2023-05-23,90228.07
2023-05-24,90190.83
2023-05-25,91361.92
2023-05-26,93130.18
2023-05-30,93671.45
2023-05-31,93147.75
2023-06-01,94220.13
2023-06-02,94457.21
2023-06-05,94344.04
2023-06-06,94538.83
2023-06-07,93117.33
2023-06-08,93826.37
2023-06-09,93923.62
2023-06-12,94961.74
2023-06-13,95475.59
2023-06-14,95385.06
2023-06-15,96259.43
2023-06-16,96084.21
2023-06-20,96388.36
2023-06-21,95705.84
2023-06-22,96450.85
2023-06-23,95670.46
2023-06-26,94676.46
2023-06-27,96082.5
2023-06-28,96443.62
2023-06-29,96302.87
2023-06-30,97376.49
2023-07-03,97434.23
2023-07-05,97313.61
2023-07-06,96432.28
2023-07-07,96274.23
2023-07-10,96473.86
2023-07-11,97150.53
2023-07-12,98322.81
2023-07-13,99896.2
2023-07-14,99835.7
2023-07-17,100498.58
2023-07-18,100951.36
2023-07-19,100790.43
2023-07-20,98582.88
2023-07-21,98647.81
2023-07-24,98776.08
2023-07-25,99389.47
2023-07-26,99291.43
2023-07-27,99441.6
2023-07-28,101070.0
2023-07-31,101337.15
2023-08-01,100886.6
2023-08-02,98910.04
2023-08-03,98841.22
2023-08-04,98570.57
2023-08-07,99327.78
2023-08-08,98647.81
2023-08-09,97936.57
2023-08-10,98037.74
2023-08-11,97425.09
2023-08-14,98360.07
2023-08-15,97608.35
2023-08-16,96666.9
2023-08-17,95695.72
2023-08-18,95665.31
