date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2025-09-24,STOP,LOGI,6.0,108.79,652.74,,trailing lock hw=23.50% now=18.82%,23644.68,105157.91
2025-09-25,STOP,STX,21.0,218.0496,4579.04,,trailing lock hw=54.85% now=48.45%,28221.43,104749.98
2025-09-26,STOP,TSM,13.0,271.2228,3525.9,,trailing lock hw=24.06% now=19.96%,31745.56,105359.44
2025-09-26,BUY,HPE,141.0,23.6345,3332.47,0.6346,score=+0.63 sector=other,28411.43,105357.78
2025-09-26,BUY,SYM,56.0,52.14,2919.84,0.5612,score=+0.56 sector=robotics,25490.13,105356.32
2025-09-29,BUY,NTAP,26.0,116.5306,3029.8,0.5803,score=+0.58 sector=cloud_infra,22458.82,106037.54
2025-09-29,BUY,NTES,8.0,148.379,1187.03,0.5722,score=+0.57 sector=china_tech,21271.19,106036.94
2025-10-07,STOP,LRCX,25.0,139.8531,3496.33,,trailing lock hw=46.87% now=38.21%,24765.77,108709.94
2025-10-07,BUY,ACLS,36.0,83.66,3011.76,0.6881,score=+0.69 sector=semiconductors,21752.51,108708.44
2025-10-10,STOP,AMD,20.0,214.9,4298.0,,trailing lock hw=42.38% now=29.89%,26048.36,106479.61
2025-10-10,STOP,NVDA,19.0,182.9267,3475.61,,trailing lock hw=12.18% now=6.70%,29522.23,106477.87
2025-10-10,STOP,HPE,141.0,24.0284,3388.01,,trailing lock hw=9.37% now=1.67%,32908.54,106476.18
2025-10-10,STOP,SYM,56.0,63.76,3570.56,,trailing lock hw=32.01% now=22.29%,36477.32,106474.39
2025-10-10,BUY,GOOGL,20.0,236.108,4722.16,0.9104,score=+0.91 sector=mega_cap_tech,31752.8,106472.03
2025-10-10,BUY,GOOG,20.0,237.0254,4740.51,0.9079,score=+0.91 sector=mega_cap_tech,27009.92,106469.66
2025-10-10,BUY,LOGI,35.0,101.71,3559.85,0.6859,score=+0.69 sector=other,23448.29,106467.88
2025-10-10,BUY,NU,144.0,14.92,2148.48,0.6457,score=+0.65 sector=fintech,21298.73,106466.81
2025-10-22,SELL,ROK,9.0,346.7408,3120.67,-0.0286,score=-0.03 <= exit_thr=+0.00,24417.84,109193.29
2025-10-22,SELL,CDNS,9.0,330.51,2974.59,-0.2066,score=-0.21 <= exit_thr=+0.00,27390.94,109191.8
2025-10-22,BUY,NBIS,31.0,98.62,3057.22,0.5761,score=+0.58 sector=ai_infra,24332.19,109190.27
2025-10-23,BUY,PLTR,12.0,180.48,2165.76,0.7068,score=+0.71 sector=software,22165.35,110261.19
2025-10-30,STOP,EBAY,8.0,82.9277,663.42,,trailing lock hw=10.78% now=-6.85%,22828.44,113525.55
